,param_hidden_layer_sizes,param_learning_rate_init,param_solver,param_alpha,mean_test_score,std_test_score
16,"(60, 20)",0.001,adam,0.0001,0.5940232178487211,0.03223428204450041
17,"(60, 20)",0.001,sgd,0.0001,0.5927081443859967,0.01651883293988242
19,"(60, 20)",0.01,sgd,0.0001,0.5926627970252132,0.033315414403921634
29,"(60, 20)",0.001,sgd,1e-05,0.591365862506802,0.021163228011107506
13,"(50, 20)",0.001,sgd,0.0001,0.5900054416832939,0.04100210364041974
5,"(60, 20)",0.001,sgd,0.001,0.5833121712316343,0.015268811258247724
4,"(60, 20)",0.001,adam,0.001,0.583257754398694,0.03522646499423769
31,"(60, 20)",0.01,sgd,1e-05,0.5819426809359696,0.018818269611314515
7,"(60, 20)",0.01,sgd,0.001,0.5819245419916561,0.027396105769115473
20,"(70, 20)",0.001,adam,0.0001,0.5818791946308725,0.04210573729223657
28,"(60, 20)",0.001,adam,1e-05,0.5805731906403049,0.041866302431349034
22,"(70, 20)",0.01,adam,0.0001,0.5779339742426991,0.04317129336344891
25,"(50, 20)",0.001,sgd,1e-05,0.5778886268819156,0.04113056719781499
26,"(50, 20)",0.01,adam,1e-05,0.5765735534191909,0.02680963582797565
12,"(50, 20)",0.001,adam,0.0001,0.5725104298929802,0.04693037781718354
1,"(50, 20)",0.001,sgd,0.001,0.5725104298929802,0.05097880837731235
24,"(50, 20)",0.001,adam,1e-05,0.5712134953745692,0.035120781179769286
8,"(70, 20)",0.001,adam,0.001,0.5711318701251588,0.041410733151456415
10,"(70, 20)",0.01,adam,0.001,0.5698712134953745,0.04201394579226669
18,"(60, 20)",0.01,adam,0.0001,0.5684382368946127,0.05294190778526832
32,"(70, 20)",0.001,adam,1e-05,0.5671140939597316,0.036390447548257626
0,"(50, 20)",0.001,adam,0.001,0.5658352983856341,0.036208899575567
30,"(60, 20)",0.01,adam,1e-05,0.5644567386178124,0.029550444730056722
14,"(50, 20)",0.01,adam,0.0001,0.5630963177943045,0.045921591915157996
9,"(70, 20)",0.001,sgd,0.001,0.5617268274986396,0.04094541149106137
11,"(70, 20)",0.01,sgd,0.001,0.5617086885543261,0.047315588355380744
6,"(60, 20)",0.01,adam,0.001,0.5604117540359151,0.03662387616249194
35,"(70, 20)",0.01,sgd,1e-05,0.5604026845637584,0.031191812184220808
21,"(70, 20)",0.001,sgd,0.0001,0.5590694721567205,0.02981779286424506
23,"(70, 20)",0.01,sgd,0.0001,0.5576999818610557,0.04507016311738836
34,"(70, 20)",0.01,adam,1e-05,0.5563939778704879,0.033960948212688837
3,"(50, 20)",0.01,sgd,0.001,0.5563849083983312,0.0401676631759887
33,"(70, 20)",0.001,sgd,1e-05,0.5523489932885906,0.031307124267625795
15,"(50, 20)",0.01,sgd,0.0001,0.5442499546526393,0.05154997661314707
27,"(50, 20)",0.01,sgd,1e-05,0.5442499546526391,0.05427407660873
2,"(50, 20)",0.01,adam,0.001,0.5442499546526391,0.07563283137818037
